"","level","id","name","unempratef","pcthsf","povratef","kidspovf","shortcommf","pctburdenf","preschf","pctoppyouthf","ythforcef","noinsf","mincf","wm_expf","unemprate","pcths","povrate","kidspov","shortcomm","pctburden","presch","pctoppyouth","ythforce","noins","minc","wm_exp","wbidx","rank"
"1","02_metro","10420","Akron, OH Metro ",803.858136610728,810.096153846154,693.394619324002,664.866552208522,684.615384615384,796.692480072203,515.397484354669,857.575757575758,322.147651006711,805.825242718447,154.817592314226,375.983429077228,0.0658932201056516,0.914,0.137826123015544,0.225167785234899,0.695,0.127862173902373,0.515397484354669,0.047,0.239,0.067,53418,77.4033745295834,623.772540310336,40
"2","02_metro","10580","Albany-Schenectady-Troy, NY Metro ",839.561220842003,829.326923076923,757.568459527539,747.76428705281,684.615384615384,791.643377993136,527.252735745327,854.545454545455,335.570469798658,873.78640776699,217.40018873794,574.183217414181,0.0560570121789076,0.922,0.10955242407572,0.169470869636393,0.695,0.129813211193015,0.527252735745327,0.048,0.245,0.046,65743,80.3044802234685,669.434843926362,8
"3","02_metro","10740","Albuquerque, NM Metro ",787.558027574479,730.769230769231,599.060940678725,561.621005223116,682.692307692308,729.330794755419,424.656307375397,778.787878787879,384.787472035794,673.139158576052,141.427709412049,464.61646648237,0.0703839038984173,0.881,0.179387638135153,0.294535887115719,0.694,0.153891586252421,0.424656307375397,0.073,0.267,0.108,50781,78.7007210688503,579.870608280235,77
"4","02_metro","10900","Allentown-Bethlehem-Easton, PA-NJ Metro ",801.108428878804,764.423076923077,754.290528071187,719.339236857073,555.769230769231,774.530056245766,448.12141012805,842.424242424242,322.147651006711,789.644012944984,200.826590788487,521.61907402542,0.0666507652189469,0.895,0.110996614525416,0.188568950236654,0.628,0.13642601647463,0.44812141012805,0.052,0.239,0.072,62479,79.5350841662937,624.520294921919,39
"5","02_metro","12060","Atlanta-Sandy Springs-Roswell, GA Metro ",788.234314076289,747.596153846154,690.062991144062,662.727224358921,309.615384615385,753.602183816727,538.784412685933,769.69696969697,422.818791946309,559.870550161812,197.038629982638,419.327026284221,0.0701975868114463,0.888,0.139293971158031,0.22660514613385,0.5,0.144512812677885,0.538784412685933,0.076,0.284,0.143,61733,78.0378068753783,571.614552717952,84
"6","02_metro","12260","Augusta-Richmond County, GA-SC Metro ",722.841430352126,677.884615384615,596.188903831262,575.125177964946,663.461538461539,780.379912968659,417.873771339886,700,371.364653243848,637.540453074434,132.709306324056,300.233263962811,0.0882133413348837,0.859,0.180652999611289,0.285462771054802,0.684,0.134165557400413,0.417873771339886,0.099,0.261,0.119,49064,76.2945981924837,547.966918909015,96
"7","02_metro","12420","Austin-Round Rock, TX Metro ",872.262165500353,759.615384615385,727.130132978956,751.188343952098,503.846153846154,764.385290529279,491.187333162687,790.909090909091,521.252796420581,579.288025889968,237.578950457034,531.075593927086,0.0470478943957802,0.893,0.122962936495378,0.167170331407184,0.601,0.140346083034534,0.491187333162687,0.069,0.328,0.137,69717,79.6735018909606,627.476605182389,36
"8","02_metro","12540","Bakersfield, CA Metro ",647.255277908814,387.019230769231,494.088598794858,493.113564327808,755.769230769231,684.712087785017,344.271023994143,678.787878787879,407.158836689038,660.194174757282,141.656205707308,356.709696278002,0.109037343737559,0.738,0.225636333585191,0.340564323967254,0.732,0.17113282237644,0.344271023994143,0.106,0.277,0.112,50826,77.1212595160638,504.227983880717,105
"9","02_metro","12580","Baltimore-Columbia-Towson, MD Metro ",823.501581604101,786.057692307692,766.830374954186,775.807635488576,344.230769230769,756.089026835873,514.350591653386,800,391.498881431767,825.242718446602,267.68460678127,409.490194891257,0.0604814464868579,0.904,0.10547181104791,0.150629244906113,0.518,0.143551864891458,0.514350591653386,0.066,0.27,0.061,75646,77.8938224251255,621.732006135457,41
"10","02_metro","12940","Baton Rouge, LA Metro ",800.632871819455,713.942307692308,622.119423884791,631.924611621413,505.769230769231,797.393887204235,506.760830247179,763.636363636364,391.498881431767,676.375404530744,164.521068319558,301.712670784486,0.0667817812982998,0.874,0.169228535764007,0.247300651566863,0.602,0.127591141261502,0.506760830247179,0.078,0.27,0.107,55329,76.3162526835906,573.023962661794,81
"11","02_metro","13820","Birmingham-Hoover, AL Metro ",794.533284396399,725.961538461539,648.936291952778,615.749763665989,513.461538461538,797.543211661748,466.96065128901,766.666666666667,380.313199105145,705.501618122977,148.06425736546,256.750743813488,0.0684622190378488,0.879,0.157413564868414,0.258168127536914,0.606,0.127533440391041,0.466960651289009,0.077,0.265,0.098,52088,75.6581323927563,568.370230413561,88
"12","02_metro","14260","Boise City, ID Metro ",853.342390706893,805.288461538462,691.98560447368,744.86789191302,748.076923076923,826.486913761623,324.542914563012,800,395.973154362416,650.485436893204,158.382134520266,544.763344361138,0.0522602967078645,0.912,0.13844690652411,0.17141688512094,0.728,0.116349225605564,0.324542914563012,0.066,0.272,0.115,54120,79.8738533194556,628.682930847553,33
"13","02_metro","14460","Boston-Cambridge-Newton, MA-NH Metro ",841.154812463501,807.692307692308,778.914642382912,797.336206638532,315.384615384615,718.699304130135,605.222662187776,890.909090909091,400.447427293065,915.857605177993,299.125697008907,621.426713577668,0.0556179773202429,0.913,0.100147726684181,0.136164736164736,0.503,0.157999729510414,0.605222662187776,0.036,0.274,0.033,81838,80.9959964802161,666.014257070542,10
