group,weight,year
Male,0.46,2018
Female,0.54,2018
Under age 55,0.57,2018
Age 55 or older,0.43,2018
Some college or less,0.31,2018
Bachelor's or higher,0.67,2018
<$75K,0.29,2018
$75K+,0.55,2018
Yes,0.38,2018
No,0.61,2018
Total,1,2018
