group,weight,year
Male,0.45,2018
Female,0.55,2018
Under age 55,0.58,2018
Age 55 or older,0.42,2018
High School or less,0.32,2018
Some college or Associate's,0.28,2018
Bachelor's or higher,0.4,2018
<$75K,0.56,2018
$75K+,0.36,2018
Yes,0.34,2018
No,0.65,2018
Total,1,2018
