group,weight,year
Male,0.48,2018
Female,0.52,2018
Under age 55,0.67,2018
Age 55 or older,0.33,2018
White,0.49,2018
Not white,0.49,2018
Hich School or less,0.4,2018
Some college or Associate's,0.27,2018
Bachelor's or higher,0.31,2018
<$30K,0.34,2018
$30K-$75K,0.31,2018
$75K+,0.24,2018
Yes,0.33,2018
No,0.66,2018
Total,1,2018
