group,weight,year
Male,0.5,2018
Female,0.5,2018
Under age 55,0.6,2018
Age 55 or older,0.39,2018
Some college or less,0.41,2018
Bachelor's or higher,0.57,2018
<$75K,0.25,2018
$75K+,0.54,2018
Yes,0.43,2018
No,0.56,2018
Total,1,2018
