group,weight,year
Male,0.46,2018
Female,0.54,2018
Under age 55,0.66,2018
Age 55 or older,0.33,2018
Some college or less,0.58,2018
Bachelor's or higher,0.42,2018
<$75K,0.52,2018
$75K+,0.38,2018
Total,1,2018
