group,weight,year
Male,0.49,2018
Female,0.51,2018
Under age 55,0.62,2018
Age 55 or older,0.38,2018
Hich School or less,0.31,2018
Some college or Associate's,0.35,2018
Bachelor's or higher,0.33,2018
<$30K,0.27,2018
$30K-$75K,0.33,2018
$75K+,0.3,2018
Yes,0.38,2018
No,0.61,2018
Total,1,2018
