group,weight,year
Male,0.49,2018
Female,0.51,2018
Ages 18-34,0.2,2018
Ages 35-49,0.23,2018
Ages 50-64,0.3,2018
Ages 65 or older,0.22,2018
White,0.86,2018
Not white,0.13,2018
Hich School or less,0.17,2018
Some college or Associate's,0.25,2018
Bachelor's or higher,0.57,2018
<$30K,0.12,2018
$30K-$75K,0.22,2018
$75K+,0.56,2018
Yes,0.35,2018
No,0.64,2018
Total,1,2018
