group,weight,year
Male,0.5,2018
Female,0.5,2018
Under age 55,0.63,2018
Age 55 or older,0.37,2018
Hich School or less,0.25,2018
Some college or Associate's,0.24,2018
Bachelor's or higher,0.51,2018
<$75K,0.43,2018
$75K+,0.46,2018
Yes,0.33,2018
No,0.66,2018
Total,1,2018
