group,weight,year
Male,0.49,2018
Female,0.51,2018
Under age 55,0.66,2018
Age 55 or older,0.33,2018
White,0.56,2018
Not white,0.42,2018
High School or less,0.34,2018
Some college or Associate's,0.33,2018
Bachelor's or higher,0.32,2018
<$75K,0.57,2018
$75K+,0.3,2018
Yes,0.33,2018
No,0.67,2018
Total,1,2018
