group,weight,year
Male,0.46,2018
Female,0.54,2018
Under age 55,0.62,2018
Age 55 or older,0.38,2018
White,0.62,2018
Not white,0.34,2018
High School or less,0.22,2018
Some college or Associate's,0.28,2018
Bachelor's or higher,0.49,2018
<$75K,0.48,2018
$75K+,0.4,2018
Yes,0.36,2018
No,0.63,2018
Total,1,2018
