group,weight,year
Male,0.53,2018
Female,0.47,2018
Under age 55,0.67,2018
Age 55 or older,0.33,2018
Some college or less,0.52,2018
Bachelor's or higher,0.48,2018
<$75K,0.58,2018
$75K+,0.35,2018
Total,1,2018
