file,slug,github
survey,mjaswvzbmgbsi25dx3aps3o575be4f,https://github.com/CT-Data-Haven/2019indexpub/blob/master/output_data/cws/wide/cws_2018_all_geos_wide.csv
scores,5j5zb65nxtotkmzgxtg74mijjrxs7i,https://github.com/CT-Data-Haven/2019indexpub/blob/master/output_data/cws/misc/index_scores_distro.csv
